School Name_x,"EQAO_Total # of
Students","EQAO_# of
Participating
Students","EQAO_# of
Students at
Levels 3/4","EQAO_% at Levels
3/4","OSSLT_Number of
Previously
Eligible
Students","OSSLT_Absent
(All
Previously
Eligible
Students)","OSSLT_Deferred
(All
Previously
Eligible
Students)","OSSLT_Successful
(Fully
Participating)","OSSLT_Not
Successful
(Fully
Participating)",Partial Name_x,School Name_y,Score,Rank,Partial Name_y
A Y Jackson Secondary School,112,103,96,93%,312,8%,0%,88%,12%,a y jackson,a y jackson,7.9,77/689,
Agincourt Collegiate Institute,184,172,125,73%,388,1%,<1%,94%,6%,agincourt,agincourt,8.3,41/689,
Albert Campbell Collegiate Institute,169,158,100,63%,261,4%,7%,88%,12%,albert campbell,albert campbell,7,210/689,
Birchmount Park Collegiate Institute,104,87,28,32%,169,22%,1%,79%,21%,birchmount park,birchmount park,5.2,496/689,
Bloor Collegiate Institute,78,75,59,79%,197,4%,0%,94%,6%,bloor,bloor,8.5,26/689,
C W Jefferys Collegiate Institute,84,73,14,19%,255,36%,0%,72%,28%,c w jefferys,c w jefferys,3.9,606/689,
Cedarbrae Collegiate Institute,120,114,59,52%,264,13%,0%,76%,24%,cedarbrae,cedarbrae,5.4,471/689,
Central Technical School,30,28,8,29%,231,19%,0%,62%,38%,central,central,2.7,651/689,
Central Toronto Academy,68,50,22,44%,230,4%,<1%,86%,14%,central,central,2.7,651/689,
Don Mills Collegiate Institute,116,103,63,61%,192,18%,0%,92%,8%,don mills,don mills,7.4,154/689,
Downsview Secondary School,24,22,0,0%,123,123,123,123,123,downsview,downsview,1.3,679/689,
Dr Norman Bethune Collegiate Institute,132,123,100,81%,276,276,276,276,276,dr norman bethune,dr norman bethune,7.4,154/689,
Earl Haig Secondary School,207,171,116,68%,527,527,527,527,527,earl haig,earl haig,7.9,77/689,
East York Collegiate Institute,106,95,27,28%,311,311,311,311,311,east york,east york,5.1,505/689,
Etobicoke Collegiate Institute,95,91,57,63%,306,306,306,306,306,etobicoke,etobicoke,7.3,167/689,
Etobicoke School of the Arts,111,109,78,72%,234,234,234,234,234,etobicoke,etobicoke,7.3,167/689,
Forest Hill Collegiate Institute,24,23,15,65%,185,185,185,185,185,forest hill,forest hill,6.9,227/689,
George S Henry Academy,63,59,20,34%,107,107,107,107,107,george s henry,george s henry,5.5,459/689,
